title,genres,keywords,overview,movie_id,cast,crew,revenue,vote_average,vote_count,popularity
avp: alien vs. predator,"adventure,science fiction,action",saving the world predator laserpointer space marine pyramid praise alien xenomorph,"when scientist discover something in the arctic that appears to be a buried pyramid , they send a research team out to investigate . little do they know that they are about to step into a hunting ground where alien are grown a sport for the predator race .",395,"['Sanaa_Lathan', 'Raoul_Bova', 'Ewen_Bremner', 'Colin_Salmon', 'Tommy_Flanagan']",['Paul_W.S._Anderson'],low revenue,5.5,low voted,low popularity
alvin and the chipmunks: the squeakquel,"comedy,family,animation",chipmunk cgi based on tv series aftercreditsstinger duringcreditsstinger woman director,"pop sensation alvin , simon and theodore end up in the care of dave seville 's twenty-something nephew toby . the boy must put aside music super stardom to return to school , and are tasked with saving the school 's music program by winning the $ 25,000 prize in a battle of the band . but the chipmunk unexpectedly meet their match in three singing chipmunk known a the chipettes - brittany , eleanor and jeanette . romantic and musical spark are ignited when the chipmunk and chipettes square off .",23398,"['Zachary_Levi', 'David_Cross', 'Jason_Lee', 'Justin_Long', 'Matthew_Gray_Gubler']",['Betty_Thomas'],low revenue,5.4,low voted,low popularity
we were soldiers,"action,history,war",vietnam veteran missile vietnam war army major based on true story steel helmet soldier explosion battle bayonet death vietnamese,the story of the first major battle of the american phase of the vietnam war and the soldier on both side that fought it .,10590,"['Mel_Gibson', 'Greg_Kinnear', 'Madeleine_Stowe', 'Sam_Elliott', 'Chris_Klein']",['Randall_Wallace'],low revenue,6.7,low voted,low popularity
olympus has fallen,"action,thriller",white house secret service terrorist attack,"when the white house ( secret service code : `` olympus '' ) is captured by a terrorist mastermind and the president is kidnapped , disgraced former presidential guard mike banning find himself trapped within the building . a the national security team scramble to respond , they are forced to rely on banning 's inside knowledge to help retake the white house , save the president and avert an even bigger disaster .",117263,"['Gerard_Butler', 'Aaron_Eckhart', 'Angela_Bassett', 'Morgan_Freeman', 'Radha_Mitchell']",['Antoine_Fuqua'],low revenue,6.2,low voted,low popularity
star trek: insurrection,"science fiction,action,adventure",space opera retribution spacecraft officer exploding ship,"when an alien race and faction within starfleet attempt to take over a planet that ha `` regenerative '' property , it fall upon captain picard and the crew of the enterprise to defend the planet 's people a well a the very ideal upon which the federation itself wa founded .",200,"['Patrick_Stewart', 'Jonathan_Frakes', 'Brent_Spiner', 'LeVar_Burton', 'Michael_Dorn']",['Jonathan_Frakes'],low revenue,6.3,low voted,low popularity
battle: los angeles,"action,science fiction",saving the world hero marine corps chaos retirement survivor meteor space invasion alien battlefield survival sergeant los angeles battle danger escapade u.s. marine heroic mission evil alien chaos and mayham,"the earth is attacked by unknown force . a people everywhere watch the world 's great city fall , los angeles becomes the last stand for mankind in a battle no one expected . it 's up to a marine staff sergeant and his new platoon to draw a line in the sand a they take on an enemy unlike any they 've ever encountered before .",44943,"['Aaron_Eckhart', 'Ramón_Rodríguez', 'Will_Rothhaar', 'Cory_Hardrict', 'Jim_Parrack']",['Jonathan_Liebesman'],low revenue,5.5,low voted,low popularity
big fish,"adventure,fantasy,drama",circus father son relationship witch fish fishing love of one's life leech story teller apoplectic stroke fair mermaid cancer relationship youth gentle giant,"throughout his life edward bloom ha always been a man of big appetite , enormous passion and tall tale . in his later year , he remains a huge mystery to his son , william . now , to get to know the real man , will begin piecing together a true picture of his father from flashback of his amazing adventure .",587,"['Ewan_McGregor', 'Albert_Finney', 'Billy_Crudup', 'Jessica_Lange', 'Helena_Bonham_Carter']",['Tim_Burton'],low revenue,7.6,low voted,low popularity
wolf,fantasy,adultery heal bite werewolf,publisher will randall becomes a werewolf and ha to fight to keep his job .,10395,"['Jack_Nicholson', 'Christopher_Plummer', 'James_Spader', 'Michelle_Pfeiffer', 'Kate_Nelligan']",['Mike_Nichols'],low revenue,6.0,low voted,low popularity
war horse,"drama,war",world war i horse farm life execution trapped alcoholic cavalry plowing artillery,"follows a young man named albert and his horse , joey , and how their bond is broken when joey is sold to the cavalry and sent to the trench of world war one . despite being too young to enlist , albert head to france to save his friend .",57212,"['Tom_Hiddleston', 'Benedict_Cumberbatch', 'Toby_Kebbell', 'Emily_Watson', 'Jeremy_Irvine']",['Steven_Spielberg'],low revenue,7.0,low voted,low popularity
the monuments men,"war,drama,history",world war ii nazis art theft post world war ii,"based on the true story of the greatest treasure hunt in history , the monument men is an action drama focusing on seven over-the-hill , out-of-shape museum director , artist , architect , curator , and art historian who went to the front line of wwii to rescue the world ’ s artistic masterpiece from nazi thief and return them to their rightful owner . with the art hidden behind enemy line , how could these guy hope to succeed ?",152760,"['Matt_Damon', 'Cate_Blanchett', 'George_Clooney', 'Bill_Murray', 'John_Goodman']",['George_Clooney'],low revenue,5.8,low voted,low popularity
the abyss,"adventure,action,thriller",ocean sea diving suit flying saucer nuclear missile alien life-form insanity scuba diving underwater scuba deepsea trapped underwater  thalassophobia,"a civilian oil rig crew is recruited to conduct a search and rescue effort when a nuclear submarine mysteriously sink . one diver soon find himself on a spectacular odyssey 25,000 foot below the ocean 's surface where he confronts a mysterious force that ha the power to change the world or destroy it .",2756,"['Ed_Harris', 'Mary_Elizabeth_Mastrantonio', 'Michael_Biehn', 'Leo_Burmester', 'Todd_Graff']",['James_Cameron'],low revenue,7.1,low voted,low popularity
wall street: money never sleeps,"drama,crime",duringcreditsstinger,"a the global economy teeter on the brink of disaster , a young wall street trader partner with disgraced former wall street corporate raider gordon gekko on a two tiered mission : to alert the financial community to the coming doom , and to find out who wa responsible for the death of the young trader 's mentor .",33909,"['Michael_Douglas', 'Shia_LaBeouf', 'Josh_Brolin', 'Carey_Mulligan', 'Frank_Langella']",['Oliver_Stone'],low revenue,5.8,low voted,low popularity
dracula untold,"horror,action,drama",vampire dracula bite battle 15th century ottoman empire vlad fang vamp tepes,"vlad tepes is a great hero , but when he learns the sultan is preparing for battle and need to form an army of 1,000 boy , including vlad 's son , he vow to find a way to protect his family . vlad turn to dark force in order to get the power to destroy his enemy and agrees to go from hero to monster a he 's turned into the mythological vampire dracula .",49017,"['Luke_Evans', 'Sarah_Gadon', 'Dominic_Cooper', 'Art_Parkinson', 'Charles_Dance']",['Gary_Shore'],low revenue,6.2,low voted,low popularity
the siege,"drama,action,thriller",islam muslim car bomb fbi agent,the secret u abduction of a suspected terrorist lead to a wave of terrorist attack in new york that lead to the declaration of martial law .,9882,"['Denzel_Washington', 'Annette_Bening', 'Bruce_Willis', 'Tony_Shalhoub', 'Sami_Bouajila']",['Edward_Zwick'],low revenue,6.0,low voted,low popularity
stardust,"adventure,fantasy,romance",witch based on novel new love prince beauty star kingdom wall falling star royalty unrequited love good vs evil fratricide,"in a countryside town bordering on a magical land , a young man make a promise to his beloved that he 'll retrieve a fallen star by venturing into the magical realm . his journey take him into a world beyond his wildest dream and reveals his true identity .",2270,"['Claire_Danes', 'Charlie_Cox', 'Michelle_Pfeiffer', 'Robert_De_Niro', 'Sienna_Miller']",['Matthew_Vaughn'],low revenue,7.1,low voted,low popularity
seven years in tibet,"adventure,drama,history",buddhism himalaya austria mountains buddhist monk world war ii prisoners of war monsoon tibet dalai lama mountaineer lhasa wedding,"austrian mountaineer , heinrich harrer journey to the himalaya without his family to head an expedition in 1939. but when world war ii break out , the arrogant harrer fall into allied force ' hand a a prisoner of war . he escape with a fellow detainee and make his way to llaso , tibet , where he meet the 14-year-old dalai lama , whose friendship ultimately transforms his outlook on life .",978,"['Brad_Pitt', 'Jamyang_Jamtsho_Wangchuk', 'David_Thewlis', 'BD_Wong', 'Mako']",['Jean-Jacques_Annaud'],low revenue,7.0,low voted,low popularity
the dilemma,"comedy,drama",adultery infidelity secret investigation friendship partner love friends dilemma cheating on partner best friend,"longtime friend ronny and nick are partner in an auto-design firm . they are hard at work on a presentation for a dream project that would really launch their company . then ronny spot nick 's wife out with another man , and in the process of investigating the possible affair , he learns that nick ha a few secret of his own . a the presentation nears , ronny agonizes over what might happen if the truth get out .",44564,"['Kevin_James', 'Vince_Vaughn', 'Winona_Ryder', 'Jennifer_Connelly', 'Queen_Latifah']",['Ron_Howard'],low revenue,5.2,low voted,low popularity
bad company,"action,adventure,comedy",ambush cia assassin nightclub hustler hidden camera decoy undercover agent twin brother deception betrayal mistaken identity shootout espionage foot chase car chase silencer surveillance agent impersonation langley virginia odd couple,"when a harvard-educated cia agent is killed during an operation , the secret agency recruit his twin brother .",3132,"['Anthony_Hopkins', 'Chris_Rock', 'Peter_Stormare', 'Gabriel_Macht', 'Kerry_Washington']",['Joel_Schumacher'],low revenue,5.4,low voted,low popularity
doom,"adventure,action,horror",teleportation based on video game severed ear future war wisecrack humor commando mission,"a team of space marine known a the rapid response tactical squad , led by sarge , is sent to a science facility on mar after somebody report a security breach . there , they learn that the alert came after a test subject , a mass murderer purposefully injected with alien dna , broke free and began killing people . dr. grimm , who is related to team member reaper , informs them all that the chromosome can mutate human into monster -- and is highly infectious .",8814,"['Dwayne_Johnson', 'Karl_Urban', 'Rosamund_Pike', 'Ben_Daniels', 'Deobia_Oparei']",['Andrzej_Bartkowiak'],low revenue,5.0,low voted,low popularity
i spy,"action,adventure,comedy",budapest kidnapping boxer secret agent liberation of hostage hostage-taking woman director,"when the switchblade , the most sophisticated prototype stealth fighter created yet , is stolen from the u.s. government , one of the united state ' top spy , alex scott , is called to action . what he doe n't expect is to get teamed up with a cocky civilian , world class boxing champion kelly robinson , on a dangerous top secret espionage mission . their assignment : using equal part skill and humor , catch arnold gundars , one of the world 's most successful arm dealer .",8427,"['Eddie_Murphy', 'Owen_Wilson', 'Famke_Janssen', 'Keith_Dallas', 'Malcolm_McDowell']",['Betty_Thomas'],low revenue,5.2,low voted,low popularity
underworld: awakening,"fantasy,action,horror",vampire daughter hybrid child vampire werewolf imax lab experiment werewolf child fang vamp,"after being held in a coma-like state for fifteen year , vampire selene learns that she ha a fourteen-year-old vampire/lycan hybrid daughter named nissa , and when she find her , they must stop biocom from creating super lycans that will kill them all .",52520,"['Kate_Beckinsale', 'Stephen_Rea', 'Michael_Ealy', 'Theo_James', 'India_Eisley']","['Måns_Mårlind', 'Björn_Stein']",low revenue,6.1,low voted,low popularity
rock of ages,"comedy,drama,music",musical rocker teenager young love rock sta,"a small town girl and a city boy meet on the sunset strip , while pursuing their hollywood dream .",80585,"['Julianne_Hough', 'Diego_Boneta', 'Tom_Cruise', 'Alec_Baldwin', 'Russell_Brand']",['Adam_Shankman'],low revenue,6.0,low voted,low popularity
hart's war,"drama,war",black people world war ii prisoners of war u.s. army war escape tribunal trial soldier military tribunal xenophobia,"fourth-generation army col. william mcnamara is imprisoned in a brutal german pow camp . still , a the senior-ranking american officer , he command his fellow inmate , keeping a sense of honor alive in a place where honor is easy to destroy , all under the dangerous eye of the luftwafe vetran col. wilhelm visser . never giving up the fight to win the war , mcnamara is silently planning , waiting for his moment to strike back at the enemy . a murder in the camp give him the chance to set a risky plan in motion . with a court martial to keep visser and the german distracted , mcnamara orchestrates a cunning scheme to escape and destroy a nearby munition plant , enlisting the unwitting help of young lt. tommy hart . together with his men , mcnamara us a hero 's resolve to carry out his mission , ultimately forced to weigh the value of his life against the good of his country .",10592,"['Bruce_Willis', 'Colin_Farrell', 'Terrence_Howard', 'Marcel_Iureș', 'Cole_Hauser']",['Gregory_Hoblit'],low revenue,5.9,low voted,low popularity
killer elite,"action,adventure,thriller",rescue,"based on a shocking true story , killer elite pit two of the world ’ s most elite operatives—danny , an ex-special ops agent and hunter , his longtime mentor—against the cunning leader of a secret military society . covering the globe from australia to paris , london and the middle east , danny and hunter are plunged into a highly dangerous game of cat and mouse—where the predator become the prey .",49021,"['Jason_Statham', 'Clive_Owen', 'Robert_De_Niro', 'Dominic_Purcell', 'Yvonne_Strahovski']",['Gary_McKendry'],low revenue,6.1,low voted,low popularity
rollerball,"action,science fiction,thriller",manager arena dystopia wrestling sport roller-skating motorcycle racing rollerskating future sport,"from the director of die hard come this high-octane thriller that roar along at a breakneck pace ( los angeles time ) ! starring chris klein ( american pie ) , jean reno ( ronin ) , ll cool j ( charlie 's angel ) and rebecca romijn-stamos ( x-men ) , rollerball go full-throttle with excitement from it death-defying opening until it explosive end ! jonathan cross ( klein ) is the newest recruit in the most extreme sport of all time where his fast move and killer look make him an instant superstar . but cross life in the fast lane collides with reality when he learns that the league 's owner ( reno ) is orchestrating serious on-court accident to boost rating . now cross plan to take down the owner and his ruthless sport before the game put an end to him !",11535,"['Chris_Klein', 'LL_Cool_J', 'Rebecca_Romijn', 'Naveen_Andrews', 'Jean_Reno']",['John_McTiernan'],low revenue,3.4,low voted,low popularity
ballistic: ecks vs. sever,"action,adventure,thriller",loss of family enemy adversary agent,"jonathan eck , an fbi agent , realizes that he must join with his lifelong enemy , agent sever , a rogue dia agent with whom he is in mortal combat , in order to defeat a common enemy . that enemy ha developed a `` micro-device '' that can be injected into victim in order to kill them at will .",10550,"['Antonio_Banderas', 'Lucy_Liu', 'Gregg_Henry', 'Ray_Park', 'Talisa_Soto']",['Wych_Kaosayananda'],low revenue,4.3,low voted,low popularity
hard rain,thriller,sheriff rain evacuation armored car crook hoodlum,"get swept up in the action a an armored car driver ( christian slater ) try to elude a gang of thief ( led by morgan freeman ) while a flood ravage the countryside . hard rain is `` a wild , thrilling , chilling action ride '' filled with close call , uncertain loyalty and heart-stopping heroic .",11258,"['Morgan_Freeman', 'Christian_Slater', 'Randy_Quaid', 'Minnie_Driver', 'Ed_Asner']",['Mikael_Salomon'],low revenue,5.5,low voted,low popularity
osmosis jones,"adventure,animation,action",cold flu lethal virus construction worker,"a policeman white blood cell , with the help of a cold pill , must stop a deadly virus from destroying the human they live in , frank .",12610,"['Chris_Rock', 'Laurence_Fishburne', 'David_Hyde_Pierce', 'Brandy_Norwood', 'Bill_Murray']","['Bobby_Farrelly', 'Peter_Farrelly']",low revenue,5.9,low voted,low popularity
legends of oz: dorothy's return,"animation,music,family",,"dorothy wake up in post-tornado kansa , only to be whisked back to oz to try to save her old friend the scarecrow , the lion , the tin man and glinda from a devious new villain , the jester . wiser the owl , marshal mallow , china princess and tugg the tugboat join dorothy on her latest magical journey through the colorful landscape of oz to restore order and happiness to emerald city .",59981,"['Lea_Michele', 'Dan_Aykroyd', 'Patrick_Stewart', 'Hugh_Dancy', 'Jim_Belushi']",['Dan_St._Pierre'],low revenue,5.9,low voted,low popularity
blackhat,"crime,drama,mystery",terrorist technology anti hero hacker computer virus national security agency (nsa) race against time computer malaysia nuclear power plant suspense betrayal conspiracy on the run fugitive shootout hacking terrorism cat and mouse one against many computer hacker no opening credits terrorist plot stock exchange cybercrime cyber terrorism chinese military cyber terrorist cyber thriller,a man is released from prison to help american and chinese authority pursue a mysterious cyber criminal . the dangerous search lead them from chicago to hong kong .,201088,"['Chris_Hemsworth', 'Leehom_Wang', 'Tang_Wei', 'Viola_Davis', 'Holt_McCallany']",['Michael_Mann'],low revenue,5.1,low voted,low popularity
sky captain and the world of tomorrow,"mystery,action,thriller",london england himalaya journalist killer robot computer war robot,"when gigantic robot attack new york city , `` sky captain '' us his private air force to fight them off . his ex-girlfriend , reporter polly perkins , ha been investigating the recent disappearance of prominent scientist . suspecting a link between the global robot attack and missing men , sky captain and polly decide to work together . they fly to the himalaya in pursuit of the mysterious dr. totenkopf , the mastermind behind the robot .",5137,"['Jude_Law', 'Gwyneth_Paltrow', 'Giovanni_Ribisi', 'Angelina_Jolie', 'Bai_Ling']",['Kerry_Conran'],low revenue,5.7,low voted,low popularity
basic instinct 2,"crime,mystery,thriller",male nudity sex legs soho london playing god jacuzzi,"novelist catherine tramell is once again in trouble with the law , and scotland yard appoints psychiatrist dr. michael glass to evaluate her . though , like detective nick curran before him , glass is entranced by tramell and lured into a seductive game .",3093,"['Sharon_Stone', 'David_Morrissey', 'Charlotte_Rampling', 'David_Thewlis', 'Stan_Collymore']",['Michael_Caton-Jones'],low revenue,4.6,low voted,low popularity
escape plan,"action,thriller",prison muslim ship mystery science fiction escape crime prison escape cia agent,"ray breslin is the world 's foremost authority on structural security . after analyzing every high security prison and learning a vast array of survival skill so he can design escape-proof prison , his skill are put to the test . he 's framed and incarcerated in a master prison he designed himself . he need to escape and find the person who put him behind bar .",107846,"['Sylvester_Stallone', 'Arnold_Schwarzenegger', 'Jim_Caviezel', 'Vinnie_Jones', '50_Cent']",['Mikael_Håfström'],low revenue,6.7,low voted,low popularity
the legend of hercules,"action,adventure",mythology zeus ancient greece demigod city of argos mistaken parentage,"in ancient greece 1200 b.c. , a queen succumbs to the lust of zeus to bear a son promised to overthrow the tyrannical rule of the king and restore peace to a land in hardship . but this prince , hercules , know nothing of his real identity or his destiny . he desire only one thing : the love of hebe , princess of crete , who ha been promised to his own brother . when hercules learns of his greater purpose , he must choose : to flee with his true love or to fulfill his destiny and become the true hero of his time . the story behind one of the greatest myth is revealed in this action-packed epic - a tale of love , sacrifice and the strength of the human spirit .",188207,"['Kellan_Lutz', 'Liam_McIntyre', 'Gaia_Weiss', 'Scott_Adkins', 'Roxanne_McKee']",['Renny_Harlin'],low revenue,4.4,low voted,low popularity
the sum of all fears,"thriller,action,drama",cia terrorist atomic bomb cold war nuclear explosion jack ryan,"when the president of russia suddenly dy , a man whose politics are virtually unknown succeeds him . the change in political leader spark paranoia among american cia official , so cia director bill cabot recruit a young analyst to supply insight and advice on the situation . then the unthinkable happens : a nuclear bomb explodes in a u.s. city , and america is quick to blame the russian .",4614,"['Ben_Affleck', 'Morgan_Freeman', 'James_Cromwell', 'Ken_Jenkins', 'Liev_Schreiber']",['Phil_Alden_Robinson'],low revenue,5.9,low voted,low popularity
the twilight saga: eclipse,"adventure,fantasy,drama",vampire graduation bite immortality werewolf fang vamp,"bella once again find herself surrounded by danger a seattle is ravaged by a string of mysterious killing and a malicious vampire continues her quest for revenge . in the midst of it all , she is forced to choose between her love for edward and her friendship with jacob , knowing that her decision ha the potential to ignite the ageless struggle between vampire and werewolf . with her graduation quickly approaching , bella is confronted with the most important decision of her life .",24021,"['Kristen_Stewart', 'Robert_Pattinson', 'Taylor_Lautner', 'Ashley_Greene', 'Peter_Facinelli']",['David_Slade'],low revenue,5.8,low voted,low popularity
the score,"action,crime,thriller",quebec jewel scepter customs house jewelry heist blueprint assumed identity schematic voice over surveillance camera one last job,an aging thief hope to retire and live off his ill-gotten wealth when a young kid convinces him into doing one last heist .,11371,"['Robert_De_Niro', 'Edward_Norton', 'Marlon_Brando', 'Angela_Bassett', 'Paul_Soles']",['Frank_Oz'],low revenue,6.7,low voted,low popularity
despicable me,"animation,family",adoptive father orphanage life's dream rivalry stealing ballet little girl orphan father daughter relationship tomboy mother son relationship intelligent kids evil doctor duringcreditsstinger minions supervillain 3d despicable cattivissimo,"villainous gru life up to his reputation a a despicable , deplorable and downright unlikable guy when he hatch a plan to steal the moon from the sky . but he ha a tough time staying on task after three orphan land in his care .",20352,"['Steve_Carell', 'Jason_Segel', 'Russell_Brand', 'Julie_Andrews', 'Will_Arnett']","['Pierre_Coffin', 'Chris_Renaud']",low revenue,7.1,average voted,low popularity
money train,"action,comedy,crime",brother brother relationship subway new york city new york subway train robbery,"a vengeful new york transit cop decides to steal a trainload of subway fare ; his foster brother , a fellow cop , try to protect him .",11517,"['Wesley_Snipes', 'Woody_Harrelson', 'Jennifer_Lopez', 'Robert_Blake', 'Chris_Cooper']",['Joseph_Ruben'],low revenue,5.4,low voted,low popularity
ted 2,comedy,sperm bank sequel buddy courthouse teddy bear aftercreditsstinger toy comes to life married,"newlywed couple ted and tami-lynn want to have a baby , but in order to qualify to be a parent , ted will have to prove he 's a person in a court of law .",214756,"['Mark_Wahlberg', 'Seth_MacFarlane', 'Amanda_Seyfried', 'Jessica_Barth', 'Giovanni_Ribisi']",['Seth_MacFarlane'],low revenue,6.2,low voted,low popularity
agora,"adventure,drama,history",christianity philosophy egypt new love war cult historical figure history sword fight ancient world destiny fall in love hypatia misogyny persecution library of alexandria political unrest impossible love false history power relations unfulfillment master and servant love and romance unfulfilled love,"a historical drama set in roman egypt , concerning philosopher hypatia of alexandria and her relationship with her slave davus , who is torn between his love for her and the possibility of gaining his freedom by joining the rising tide of christianity .",26428,"['Rachel_Weisz', 'Max_Minghella', 'Oscar_Isaac', 'Ashraf_Barhom', 'Michael_Lonsdale']",['Alejandro_Amenábar'],low revenue,6.9,low voted,low popularity
mystery men,"adventure,fantasy,action",bowling hostage sphinx training insane asylum tools frankenstein casanova superhero based on comic book independent film comedy spoof skull shovel disco superhero spoof invisible man dark horse comics invisibility rajah bowling ball spleen evil genius,"when captain amazing ( kinnear ) is kidnapped by casanova frankenstein ( rush ) a group of superheroes combine together to create a plan . but these are n't normal superheroes . now , the group who include such hero a mr. furious ( stiller ) , the shoveller ( macy ) and the blue raja ( azaria ) must put all the power together to save everyone they know and love .",9824,"['Ben_Stiller', 'Geoffrey_Rush', 'Claire_Forlani', 'William_H._Macy', 'Hank_Azaria']",['Kinka_Usher'],low revenue,5.7,low voted,low popularity
hall pass,comedy,wife husband relationship daydream marriage freedom friends,"when best bud rick and fred begin to show sign of restlessness at home , their wife take a bold approach to revitalize their marriage : they grant the guy a `` hall pas '' , one week of freedom to do whatever they want . at first , it seems like a dream come true , but they quickly discover that their expectation of the single life - and themselves - are completely and hilariously out of sync with reality .",48988,"['Owen_Wilson', 'Jason_Sudeikis', 'Jenna_Fischer', 'Christina_Applegate', 'Nicky_Whelan']","['Bobby_Farrelly', 'Peter_Farrelly']",low revenue,5.4,low voted,low popularity
the insider,"drama,thriller",spy newspaper research interview tobacco insider conspiracy theory reporter whistleblower columbia broadcasting system (cbs) tobacco industry,"tell the true story of a 60 minute television series exposé of the tobacco industry , a seen through the eye of a real tobacco executive , jeffrey wigand",9008,"['Al_Pacino', 'Russell_Crowe', 'Christopher_Plummer', 'Diane_Venora', 'Bruce_McGill']",['Michael_Mann'],low revenue,7.3,low voted,low popularity
the finest hours,"action,drama,history",coast guard based on true story survival rescue mission storm at sea sinking ship 1950s 3d,the coast guard make a daring rescue attempt off the coast of cape cod after a pair of oil tanker are destroyed during a blizzard in 1952 .,300673,"['Chris_Pine', 'Casey_Affleck', 'Ben_Foster', 'Eric_Bana', 'Holliday_Grainger']",['Craig_Gillespie'],low revenue,6.3,low voted,low popularity
body of lies,"action,drama,thriller",terror falsely accused based on novel dying and death jordan dubai intelligence agency beating,"the cia ’ s hunt is on for the mastermind of a wave of terrorist attack . roger ferris is the agency ’ s man on the ground , moving from place to place , scrambling to stay ahead of ever-shifting event . an eye in the sky – a satellite link – watch ferris . at the other end of that real-time link is the cia ’ s ed hoffman , strategizing event from thousand of mile away . and a ferris nears the target , he discovers trust can be just a dangerous a it is necessary for survival .",12113,"['Leonardo_DiCaprio', 'Russell_Crowe', 'Mark_Strong', 'Ali_Suliman', 'Simon_McBurney']",['Ridley_Scott'],low revenue,6.5,low voted,low popularity
dinner for schmucks,comedy,mouse idiot mind control taxidermy aftercreditsstinger duringcreditsstinger,"rising executive tim wagner work for a bos who host a monthly dinner in which the guest who brings the biggest buffoon get a career-boost . tim plan on not attending until he meet barry , a man who build diorama using stuffed mouse . barry 's blundering but good intention send tim 's life into a downward spiral , threatening a major business deal and possibly scuttling tim 's engagement to his fiancee .",38778,"['Steve_Carell', 'Paul_Rudd', 'Stephanie_Szostak', 'Jemaine_Clement', 'Zach_Galifianakis']",['Jay_Roach'],low revenue,5.5,low voted,low popularity
abraham lincoln: vampire hunter,"action,fantasy,horror",usa president vampire steam locomotive american civil war 19th century abraham lincoln 3d,"president lincoln 's mother is killed by a supernatural creature , which fuel his passion to crush vampire and their slave-owning helper .",72331,"['Benjamin_Walker', 'Dominic_Cooper', 'Anthony_Mackie', 'Mary_Elizabeth_Winstead', 'Rufus_Sewell']",['Timur_Bekmambetov'],low revenue,5.5,low voted,low popularity
entrapment,"romance,drama,mystery","london england new year's eve skyscraper burglar distrust undercover blackmail nudity thief heist older man younger woman relationship art thief criminal art theft millennium manhattan, new york city gala kuala lumpur malaysia","two thief , who travel in elegant circle , try to outsmart each other and , in the process , end up falling in love .",1844,"['Sean_Connery', 'Catherine_Zeta-Jones', 'Will_Patton', 'Maury_Chaykin', 'Ving_Rhames']",['Jon_Amiel'],low revenue,6.0,low voted,low popularity
the x files,"mystery,science fiction,thriller",bomb helicopter secret obsession extraterrestrial technology fbi space marine mutation secret society secret organization secret lab x-files government,"mulder and scully , now taken off the fbi 's x file case , must find a way to fight the shadowy element of the government to find out the truth about a conspiracy that might mean the alien colonization of earth .",846,"['David_Duchovny', 'Gillian_Anderson', 'Mitch_Pileggi', 'William_B._Davis', 'John_Neville']",['Rob_Bowman'],low revenue,6.6,low voted,low popularity
the last legion,"action,adventure,fantasy",roman empire emperor ancient rome western roman empire ancient world julius caesar,"a the roman empire crumbles , young romulus augustus flees the city and embarks on a perilous voyage to britain to track down a legion of supporter .",9703,"['Colin_Firth', 'Ben_Kingsley', 'Aishwarya_Rai_Bachchan', 'Peter_Mullan', 'Kevin_McKidd']",['Doug_Lefler'],low revenue,5.0,low voted,low popularity
saving private ryan,"drama,history,war",war crimes self sacrifice war veteran world war ii war ship airplane bravery normandy parachute troops waffen ss omaha beach army cowardice american flag war memorial deserted town military 1940s,"a u.s. troop storm the beach of normandy , three brother lie dead on the battlefield , with a fourth trapped behind enemy line . ranger captain john miller and seven men are tasked with penetrating german-held territory and bringing the boy home .",857,"['Tom_Hanks', 'Matt_Damon', 'Vin_Diesel', 'Tom_Sizemore', 'Barry_Pepper']",['Steven_Spielberg'],low revenue,7.9,average voted,low popularity
need for speed,"action,crime,drama",street race super cars super speed car based on video game duringcreditsstinger 3d,"the film revolves around a local street-racer who partner with a rich and arrogant business associate , only to find himself framed by his colleague and sent to prison . after he get out , he join a new york-to-los angeles race to get revenge . but when the ex-partner learns of the scheme , he put a massive bounty on the racer 's head , forcing him to run a cross-country gauntlet of illegal racer in all manner of supercharged vehicle .",136797,"['Aaron_Paul', 'Dominic_Cooper', 'Imogen_Poots', 'Rami_Malek', 'Ramón_Rodríguez']",['Scott_Waugh'],low revenue,6.1,low voted,low popularity
what women want,"comedy,romance",women telepathy supernatural powers advertising executive woman director,"advertising executive nick marshall is a cocky a they come , but what happens to a chauvinistic guy when he can suddenly hear what woman are thinking ? nick get passed over for a promotion , but after an accident enables him to hear woman 's thought , he put his newfound talent to work against darcy , his new bos , who seems to be infatuated with him .",3981,"['Helen_Hunt', 'Mel_Gibson', 'Marisa_Tomei', 'Lauren_Holly', 'Mark_Feuerstein']",['Nancy_Meyers'],low revenue,6.1,low voted,low popularity
ice age,"animation,comedy,family",human evolution parents kids relationship squirrel ice loss of child mammoth sloth dying and death stone age prehistoric saber-toothed tiger cavemen prehistoric creature prehistoric adventure prehistoric times prehistoric man,"with the impending ice age almost upon them , a mismatched trio of prehistoric critter – manny the woolly mammoth , diego the saber-toothed tiger and sid the giant sloth – find an orphaned infant and decide to return it to it human parent . along the way , the unlikely ally become friend but , when enemy attack , their quest take on far nobler aim .",425,"['Ray_Romano', 'John_Leguizamo', 'Denis_Leary', 'Goran_Visnjic', 'Jack_Black']",['Chris_Wedge'],low revenue,7.1,low voted,low popularity
dreamcatcher,"drama,horror,science fiction",religion and supernatural,"four boyhood pal perform a heroic act and are changed by the power they gain in return . year later , on a hunting trip in the maine wood , they 're overtaken by a vicious blizzard that harbor an ominous presence . challenged to stop an alien force , the friend must first prevent the slaughter of innocent civilian by a military vigilante ... and then overcome a threat to the bond that unites the four of them .",6171,"['Morgan_Freeman', 'Thomas_Jane', 'Jason_Lee', 'Damian_Lewis', 'Timothy_Olyphant']",['Lawrence_Kasdan'],low revenue,5.3,low voted,low popularity
